Categoría;Subgrupo;Grupo de Serie;Periodicidad;Link
Moneda y Crédito;Banco Central de Reserva;Reservas internacionales;Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/reservas-internacionales-a
Finanzas Públicas;Ingresos;Ingresos corrientes del gobierno general (millones S/);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-mill-soles-a
Finanzas Públicas;Ingresos;Ingresos corrientes del gobierno general (porcentaje del PBI);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-porcentaje-del-pbi-a
Finanzas Públicas;Ingresos;Ingresos corrientes del gobierno central (millones S/);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-central-mill-soles-a
Finanzas Públicas;Ingresos;Ingresos corrientes del gobierno central (porcentaje del PBI);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-central-porcentaje-del-pbi-a
Finanzas Públicas;Gastos;Gastos del gobierno general (millones S/);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/gastos-del-gobierno-general-millones-de-soles
Finanzas Públicas;Gastos;Gastos del gobierno general (porcentaje del PBI);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/gastos-del-gobierno-general-porcentaje-del-pbi
Finanzas Públicas;Gastos;Gastos del gobierno central (millones S/);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/gastos-del-gobierno-central-mill-soles
Finanzas Públicas;Gastos;Gastos del gobierno central (porcentaje del PBI);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/gastos-del-gobierno-central-porcentaje-del-pbi-a
Finanzas Públicas;Deuda pública;Saldo deuda pública (millones S/);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/saldo-deuda-publica-mill-soles
Finanzas Públicas;Deuda pública;Saldo deuda pública (porcentaje del PBI);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/saldo-deuda-publica-porcentaje-del-PBI
Finanzas Públicas;Presupuesto público;Presupuesto Público;Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/presupuesto-publico
PBI y Mercado Laboral;PBI por Sectores;Producto bruto interno (variación porcentual interanual);Trimestral;https://estadisticas.bcrp.gob.pe/estadisticas/series/trimestrales/producto-bruto-interno-variaciones-porcentuales
PBI y Mercado Laboral;PBI por Sectores;Producto bruto interno (índice 2007 = 100);Trimestral;https://estadisticas.bcrp.gob.pe/estadisticas/series/trimestrales/producto-bruto-interno-indice-2007-100
PBI y Mercado Laboral;PBI por Sectores;Producto bruto interno (millones S/ de 2007);Trimestral;https://estadisticas.bcrp.gob.pe/estadisticas/series/trimestrales/pbi-millones-de-soles-constantes-de-2007
PBI y Mercado Laboral;PBI por Sectores;Producto bruto interno por sectores productivos (millones S/ de 2007);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/producto-bruto-interno-por-sectores-productivos-mill-soles-del-2007
PBI y Mercado Laboral;PBI por Sectores;Producto bruto interno por sectores productivos (variación porcentual interanual);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/producto-bruto-interno-por-sectores-productivos-variaciones-porcentuales-reales
PBI y Mercado Laboral;PBI Gasto;Producto bruto interno por tipo de gasto (millones S/ 2007);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/producto-bruto-interno-por-tipo-de-gasto-mill-soles-del-2007-a
PBI y Mercado Laboral;PBI Gasto;Producto bruto interno por tipo de gasto (variaciones porcentuales reales);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/producto-bruto-interno-por-tipo-de-gasto-variaciones-porcentuales-reales
Balanza de Pagos;Balanza Comercial;Balanza comercial - valores FOB (millones US$);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/balanza-comercial-mill-usd-a-bpm6
Balanza de Pagos;Balanza Comercial;Exportaciones por grupo de productos - valores FOB (millones US$);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/exportaciones-por-grupo-de-productos-mill-de-usd-a-bpm6
Balanza de Pagos;Balanza Comercial;Importaciones según uso o destino económico - valores FOB (millones US$);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/importaciones-segun-uso-o-destino-economico-a-bpm6
Balanza de Pagos;Cuenta financiera;Cuenta financiera del sector privado (millones US$);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/cuenta-financiera-del-sector-privado-a-bpm6
Balanza de Pagos;Cuenta financiera;Cuenta financiera del sector público (millones US$);Anual;https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/cuenta-financiera-del-sector-publico-a-bpm6
