codigo,nombre_serie,fecha_inicio,fecha_fin,ultima_actualizacion,categoria,categoria_url,periodicidad
PM06102MA,Reservas Internacionales Netas (millones S/),2001,2024,15-05-2025,Reservas internacionales,https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/reservas-internacionales-a,Anual
PM06103MA,Reservas Internacionales Netas (millones US$),1959,2024,15-05-2025,Reservas internacionales,https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/reservas-internacionales-a,Anual
PM06104MA,Reservas Internacionales Netas - Activos (millones US$),1959,2024,15-05-2025,Reservas internacionales,https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/reservas-internacionales-a,Anual
PM06105MA,Reservas Internacionales Netas - Pasivos (millones US$),1959,2024,15-05-2025,Reservas internacionales,https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/reservas-internacionales-a,Anual
PD10006MA,Reservas Internacionales Brutas (millones US$),1959,2024,15-05-2025,Reservas internacionales,https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/reservas-internacionales-a,Anual
PD31897MA,Depósitos de Intermediarios Financieros (mill. US$),1998,2020,30-03-2022,Reservas internacionales,https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/reservas-internacionales-a,Anual
PD31898MA,Depósitos del sector público en el BCRP (mill. US$),1978,2021,02-08-2022,Reservas internacionales,https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/reservas-internacionales-a,Anual
PM05856FA,Ingresos Tributarios,1990,2024,30-05-2025,Ingresos corrientes del gobierno general (millones S/),https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-mill-soles-a,Anual
PM05857FA,Ingresos Tributarios - Impuestos a los Ingresos,1990,2024,30-05-2025,Ingresos corrientes del gobierno general (millones S/),https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-mill-soles-a,Anual
PM05858FA,Ingresos Tributarios - Impuestos a los Ingresos - Personas Naturales,1990,2024,30-05-2025,Ingresos corrientes del gobierno general (millones S/),https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-mill-soles-a,Anual
PM05859FA,Ingresos Tributarios - Impuestos a los Ingresos - Personas Jurídicas,1990,2024,30-05-2025,Ingresos corrientes del gobierno general (millones S/),https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-mill-soles-a,Anual
PM05860FA,Ingresos Tributarios - Impuestos a los Ingresos - Regularización,1990,2024,30-05-2025,Ingresos corrientes del gobierno general (millones S/),https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-mill-soles-a,Anual
PM05861FA,Ingresos Tributarios - Impuestos a las Importaciones,1990,2024,30-05-2025,Ingresos corrientes del gobierno general (millones S/),https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-mill-soles-a,Anual
PM05862FA,Ingresos Tributarios - IGV,1990,2024,30-05-2025,Ingresos corrientes del gobierno general (millones S/),https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-mill-soles-a,Anual
PM05863FA,Ingresos Tributarios - IGV - Interno,1990,2024,30-05-2025,Ingresos corrientes del gobierno general (millones S/),https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-mill-soles-a,Anual
PM05864FA,Ingresos Tributarios - IGV - Importaciones,1990,2024,30-05-2025,Ingresos corrientes del gobierno general (millones S/),https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-mill-soles-a,Anual
PM05865FA,Ingresos Tributarios - ISC,1990,2024,30-05-2025,Ingresos corrientes del gobierno general (millones S/),https://estadisticas.bcrp.gob.pe/estadisticas/series/anuales/ingresos-corrientes-del-gobierno-general-mill-soles-a,Anual
